requested_name,brand,category,preferred_size,matched_name,matched_brand,matched_size,barcode,image_filename,image_url,match_score,confidence,approved
Ocean Spray Cranberry Juice Cocktail,Ocean Spray,Juice,64 fl oz,Ocean Spray Cranberry Juice Cocktail,Ocean Spray,,0031200205506,ocean_spray_cranberry_juice_cocktail.jpg,https://images.openfoodfacts.org/images/products/003/120/020/5506/front_fr.3.400.jpg,90.0,HIGH,
SunnyD Tangy Original,SunnyD,Juice Drinks,,SunnyD Tangy Original,SunnyD,,0050200013171,sunnyd_tangy_original.jpg,https://images.openfoodfacts.org/images/products/005/020/001/3171/front_en.33.400.jpg,92.0,HIGH,
V8 Splash Tropical Blend,V8,Juice Drinks,,,,,,,,,FAILED,
Welch's Grape Juice,Welch's,Juice,,,,,,,,,FAILED,
Capri Sun Fruit Punch,Capri Sun,Juice Drinks,,,,,,,,,FAILED,
Gatorade Fruit Punch,Gatorade,Sports Drinks,,,,,,,,,FAILED,
Barilla Spaghetti,Barilla,Pasta,16 oz,,,,,,,,FAILED,
Ronzoni Spaghetti,Ronzoni,Pasta,16 oz,"Ronzoni, spaghetti","New World Pasta Company, Ronzoni",,0071300055557,ronzoni_spaghetti.jpg,https://images.openfoodfacts.org/images/products/007/130/005/5557/front_en.4.400.jpg,92.0,HIGH,
De Cecco Spaghetti No. 12,De Cecco,Pasta,16 oz,Spaghetti no. 12,De Cecco,453g,0024094070121,de_cecco_spaghetti_no_12.jpg,https://images.openfoodfacts.org/images/products/002/409/407/0121/front_en.19.400.jpg,75.8,REVIEW,
Mueller's Elbow Macaroni,Mueller's,Pasta,16 oz,,,,,,,,FAILED,
Goya Black Beans,Goya,Canned Goods,15.5 oz,,,,,,,,FAILED,
Goya Red Kidney Beans,Goya,Canned Goods,15.5 oz,,,,,,,,FAILED,
Del Monte Whole Kernel Corn,Del Monte,Canned Vegetables,,,,,,,,,FAILED,
Green Giant Sweet Peas,Green Giant,Canned Vegetables,,Young Small Sweet Peas,Green Giant,,0810153930556,green_giant_sweet_peas.jpg,https://images.openfoodfacts.org/images/products/081/015/393/0556/front_en.4.400.jpg,66.5,LOW,
Libby's Whole Kernel Sweet Corn,Libby's,Canned Vegetables,,,,,,,,,FAILED,
Campbell's Chicken Noodle Soup,Campbell's,Soup,,Homestyle Chicken Noodle Soup,Campbell's,,0051000024572,campbell_s_chicken_noodle_soup.jpg,https://images.openfoodfacts.org/images/products/005/100/002/4572/front_en.27.400.jpg,76.6,REVIEW,
Campbell's Tomato Soup,Campbell's,Soup,,,,,,,,,FAILED,
SPAM Classic,SPAM,Canned Meat,12 oz,,,,,,,,FAILED,
StarKist Chunk Light Tuna in Water,StarKist,Canned Seafood,,Starkist chunk light tuna in water,Starkist,,08927303,starkist_chunk_light_tuna_in_water.jpg,https://images.openfoodfacts.org/images/products/000/000/892/7303/front_en.3.400.jpg,92.0,HIGH,
Bumble Bee Chunk Light Tuna in Water,Bumble Bee,Canned Seafood,,,,,,,,,FAILED,
Chicken of the Sea Chunk Light Tuna in Water,Chicken of the Sea,Canned Seafood,,Chunk Light Tuna in Water,Chicken of the Sea,5 oz,08420886,chicken_of_the_sea_chunk_light_tuna_in_water.jpg,https://images.openfoodfacts.org/images/products/000/000/842/0886/front_en.5.400.jpg,72.7,REVIEW,
Heinz Tomato Ketchup,Heinz,Condiments,,,,,,,,,FAILED,
French's Classic Yellow Mustard,French's,Condiments,14 oz,Classic Yellow Mustard,French's,14 oz,0041500013534,french_s_classic_yellow_mustard.jpg,https://images.openfoodfacts.org/images/products/004/150/001/3534/front_en.3.400.jpg,90.1,HIGH,
Hellmann's Real Mayonnaise,Hellmann's,Condiments,,,,,,,,,FAILED,
A.1. Original Steak Sauce,A.1.,Condiments,,Original Sauce,A.1.,5 oz (142 g),0054400000092,a_1_original_steak_sauce.jpg,https://images.openfoodfacts.org/images/products/005/440/000/0092/front_en.27.400.jpg,73.6,REVIEW,
Kikkoman Soy Sauce,Kikkoman,Asian Sauces,,,,,,,,,FAILED,
Bragg Organic Apple Cider Vinegar,Bragg,Vinegar,,,,,,,,,FAILED,
Mazola Corn Oil,Mazola,Cooking Oil,,,,,,,,,FAILED,
Wesson Vegetable Oil,Wesson,Cooking Oil,,,,,,,,,FAILED,
Crisco Pure Vegetable Oil,Crisco,Cooking Oil,,Crisco Pure Vegetable Oil,Crisco,40,0196005708338,crisco_pure_vegetable_oil.jpg,https://images.openfoodfacts.org/images/products/019/600/570/8338/front_en.3.400.jpg,92.0,HIGH,
Kellogg's Froot Loops,Kellogg's,Cereal,,Kellogs Froot Loops 160g E-1B,Kellogg's,2,8852756303049,kellogg_s_froot_loops.jpg,https://images.openfoodfacts.org/images/products/885/275/630/3049/front_en.27.400.jpg,73.2,REVIEW,
Kellogg's Frosted Flakes,Kellogg's,Cereal,,Frosted Flakes,Kellogg's,21.7 oz,0041192100192,kellogg_s_frosted_flakes.jpg,https://images.openfoodfacts.org/images/products/004/119/210/0192/front_en.36.400.jpg,73.6,REVIEW,
Kellogg's Rice Krispies,Kellogg's,Cereal,,,,,,,,,FAILED,
Cheerios Original,General Mills,Cereal,,,,,,,,,FAILED,
Lucky Charms,General Mills,Cereal,,Lucky Charms,General Mills,18.6 oz,0016000169678,lucky_charms.jpg,https://images.openfoodfacts.org/images/products/001/600/016/9678/front_en.45.400.jpg,92.0,HIGH,
Post Honey Bunches of Oats Honey Roasted,Post,Cereal,,,,,,,,,FAILED,
Nature Valley Crunchy Oats 'n Honey Granola Bars,Nature Valley,Snack Bars,,Nature Valley Crunchy Oats 'N Honey,Nature Valley,1 lb 1.88 oz (506 g),0016000431010,nature_valley_crunchy_oats_n_honey_granola_bars.jpg,https://images.openfoodfacts.org/images/products/001/600/043/1010/front_en.24.400.jpg,80.8,REVIEW,
KIND Dark Chocolate Nuts & Sea Salt,KIND,Snack Bars,,Dark Chocolate Nuts & Sea Salt,KIND,14 oz,0602652176517,kind_dark_chocolate_nuts_sea_salt.jpg,https://images.openfoodfacts.org/images/products/060/265/217/6517/front_en.91.400.jpg,86.3,HIGH,
Nutri-Grain Strawberry Breakfast Bars,Kellogg's,Snack Bars,,NUTRI-GRAIN Strawberry,Kellogg's,6,5050083542787,nutri_grain_strawberry_breakfast_bars.jpg,https://images.openfoodfacts.org/images/products/505/008/354/2787/front_en.24.400.jpg,72.2,REVIEW,
